0  : Infinity
1 I : 1000000000000.0
2 II : 500000000000.0
3 III : 333333333333.3333
4 IV : 250000000000.0
5 V : 200000000000.0
6 VI : 166666666666.66666
7 VII : 142857142857.14285
8 VIII : 125000000000.0
9 IX : 111111111111.11111
10 X : 100000000000.0
11 XI : 90909090909.09091
12 XII : 83333333333.33333
13 XIII : 76923076923.07692
14 XIV : 71428571428.57143
15 XV : 66666666666.666664
16 XVI : 62500000000.0
17 XVII : 58823529411.76471
18 XVIII : 55555555555.55556
19 XIX : 52631578947.36842
20 XX : 50000000000.0
21 XXI : 47619047619.04762
22 XXII : 45454545454.545456
23 XXIII : 43478260869.565216
24 XXIV : 41666666666.666664
25 XXV : 40000000000.0
26 XXVI : 38461538461.53846
27 XXVII : 37037037037.03704
28 XXVIII : 35714285714.28571
29 XXIX : 34482758620.68965
30 XXX : 33333333333.333332
31 XXXI : 32258064516.129032
32 XXXII : 31250000000.0
33 XXXIII : 30303030303.030304
34 XXXIV : 29411764705.882355
35 XXXV : 28571428571.42857
36 XXXVI : 27777777777.77778
37 XXXVII : 27027027027.027027
38 XXXVIII : 26315789473.68421
39 XXXIX : 25641025641.025642
40 XL : 25000000000.0
41 XLI : 24390243902.439026
42 XLII : 23809523809.52381
43 XLIII : 23255813953.488373
44 XLIV : 22727272727.272728
45 XLV : 22222222222.22222
46 XLVI : 21739130434.782608
47 XLVII : 21276595744.68085
48 XLVIII : 20833333333.333332
49 XLIX : 20408163265.30612
50 L : 20000000000.0
51 LI : 19607843137.2549
52 LII : 19230769230.76923
53 LIII : 18867924528.301888
54 LIV : 18518518518.51852
55 LV : 18181818181.81818
56 LVI : 17857142857.142857
57 LVII : 17543859649.122807
58 LVIII : 17241379310.344826
59 LIX : 16949152542.37288
60 LX : 16666666666.666666
61 LXI : 16393442622.950819
62 LXII : 16129032258.064516
63 LXIII : 15873015873.015873
64 LXIV : 15625000000.0
65 LXV : 15384615384.615385
66 LXVI : 15151515151.515152
67 LXVII : 14925373134.328358
68 LXVIII : 14705882352.941177
69 LXIX : 14492753623.188406
70 LXX : 14285714285.714285
71 LXXI : 14084507042.253521
72 LXXII : 13888888888.88889
73 LXXIII : 13698630136.986301
74 LXXIV : 13513513513.513514
75 LXXV : 13333333333.333334
76 LXXVI : 13157894736.842106
77 LXXVII : 12987012987.012987
78 LXXVIII : 12820512820.512821
79 LXXIX : 12658227848.101265
80 LXXX : 12500000000.0
81 LXXXI : 12345679012.345678
82 LXXXII : 12195121951.219513
83 LXXXIII : 12048192771.084337
84 LXXXIV : 11904761904.761906
85 LXXXV : 11764705882.352942
86 LXXXVI : 11627906976.744186
87 LXXXVII : 11494252873.56322
88 LXXXVIII : 11363636363.636364
89 LXXXIX : 11235955056.179775
90 XC : 11111111111.11111
91 XCI : 10989010989.010988
92 XCII : 10869565217.391304
93 XCIII : 10752688172.04301
94 XCIV : 10638297872.340425
95 XCV : 10526315789.473684
96 XCVI : 10416666666.666666
97 XCVII : 10309278350.515465
98 XCVIII : 10204081632.65306
99 XCIX : 10101010101.010101
100 C : 10000000000.0
101 CI : 9900990099.009901
102 CII : 9803921568.62745
103 CIII : 9708737864.07767
104 CIV : 9615384615.384615
105 CV : 9523809523.809525
106 CVI : 9433962264.150944
107 CVII : 9345794392.523365
108 CVIII : 9259259259.25926
109 CIX : 9174311926.605505
110 CX : 9090909090.90909
111 CXI : 9009009009.009008
112 CXII : 8928571428.571428
113 CXIII : 8849557522.123894
114 CXIV : 8771929824.561403
115 CXV : 8695652173.913044
